Company Names;Cars Names;Engines;HorsePower;Fuel Types;Seats;Colour
Peugeot;308 Saloon;Inline-4;130 hp;Petrol;5;Silver
Peugeot;301 Sedan;Inline-4;82 hp;Petrol;5;Blue
Peugeot;208 Sedan;Inline-4;100 hp;Petrol;5;Gray
Ford;Fusion (Mondeo);1.5L EcoBoost / 2.0L Hybrid;160 - 250 hp;Petrol/Hybrid;5;White
Ford;Taurus;3.5L V6 / 2.0L EcoBoost;200 - 365 hp;Petrol;5;White
Ford;Fiesta;1.0L EcoBoost / 1.5L;85 - 200 hp;Petrol;5;White
Ford;Focus;1.0L EcoBoost / 1.5L / 2.0L;120 - 300 hp;Petrol;5;Black
Ford;KA+;1.2L Petrol;70 - 85 hp;Petrol;5;Gray
Ford;EcoSport;1.0L Turbo Inline-3 / 2.0L;123 - 166 hp;Petrol;5;White
Ford;Escape (Kuga);1.5L EcoBoost / 2.5L Hybrid;181 - 200 hp;Petrol/Hybrid;5;White
Ford;Edge;2.0L EcoBoost / 2.7L V6;250 - 335 hp;Petrol;5;Gray
Ford;Explorer;2.3L EcoBoost / 3.0L V6;300 - 400 hp;Petrol;7;White
Ford;Expedition;3.5L EcoBoost / 5.4L V8;375 - 400 hp;Petrol;8;White
Ford;Bronco;2.3L EcoBoost / 2.7L V6;275 - 310 hp;Petrol;4;Red
Ford;Bronco Sport;1.5L EcoBoost / 2.0L EcoBoost;181 - 250 hp;Petrol;5;Gray
Ford;F-150;3.3L V6 / 5.0L V8 / 3.5L EcoBoost;290 - 450 hp;Petrol/Diesel;5;Black
Ford;F-250 Super Duty;6.2L V8 / 7.3L V8 / 6.7L Turbo-Diesel;385 - 475 hp;Petrol/Diesel;5;Gray
Ford;F-350 Super Duty;6.7L Turbo-Diesel / 7.3L V8;450 - 475 hp;Diesel;5;Black
Ford;Maverick;2.5L Hybrid / 2.0L EcoBoost;191 - 250 hp;Hybrid/Petrol;5;Silver
Ford;Ranger;2.3L Turbo Inline-4 / 2.7L V6;270 - 325 hp;Petrol/Diesel;5;Blue
Ford;Mustang Mach-E;Electric Motor;290-480 hp;Electric;5;Gray
Ford;F-150 Lightning;Electric Motor;452 hp;Electric;5;Green
Ford;Escape Hybrid;2.5L Inline-4 + Electric;200 hp;Hybrid;5;Black
Ford;Explorer Hybrid;3.3L V6 + Electric;318 hp;Hybrid;7;White
Ford;Mustang;5.0L V8;450 hp;Petrol;4;Black
Ford;GT;3.5L Twin-Turbo V6;660 hp;Petrol;2;White
Ford;Focus ST;2.3L Turbo Inline-4;280 hp;Petrol;5;Black
Ford;Fiesta ST;1.5L Turbo Inline-3;200 hp;Petrol;5;Black
Ford;Bronco Raptor;3.0L Twin-Turbo V6;400 hp;Petrol;4;Black
Ford;Ranger Raptor;2.7L Twin-Turbo V6;392 hp;Petrol;5;Gray
Ford;F-150 Raptor;3.5L Twin-Turbo V6;450 hp;Petrol;5;Gray
Ford;Puma;Turbocharged Inline-3;123 hp;Petrol;5;White
Ford;Territory;Turbocharged Inline-4;140 hp;Petrol;5;Gray
Ford;Everest;Turbocharged Inline-4;210 hp;Diesel;7;Black
Ford;Flex;Naturally Aspirated V6;287 hp;Petrol;7;Silver
Ford;Transit;EcoBlue Turbo Diesel;170 hp;Diesel;215;Black
Ford;Transit Connect;Inline-4 Gasoline Engine;162 hp;Petrol;27;Gray
Ford;F-450 Super Duty;Turbocharged V8 Diesel;475 hp;Diesel;26;White
Ford;F-550 Super Duty;Turbocharged V8 Diesel;475 hp;Diesel;26;Blue
Ford;Mustang Shelby GT500;Supercharged V8;760 hp;Petrol;2;Gray
Ford;Mustang Shelby GT350;Naturally Aspirated V8;526 hp;Petrol;2;Black
Ford;F-150 Platinum;Turbocharged V6;400 hp;Petrol;5;Orange
Ford;F-150 Limited;Turbocharged V6;450 hp;Petrol;5;Gray
Ford;Explorer Platinum;Turbocharged V6;400 hp;Petrol;7;Green
Ford;Expedition King Ranch;Turbocharged V6;440 hp;Petrol;78;Gray
Ford;Transit Custom;EcoBlue Turbo Diesel;130 hp;Diesel;29;Silver
Ford;E-Series Cutaway;V8 Gasoline Engine;350 hp;Petrol;2;White
Ford;Transit Chassis Cab;EcoBlue Turbo Diesel;170 hp;Diesel;2;Gray
Ford;Transit Electric (E-Transit);Electric Motor;266 hp;Electric;212;White
Ford;Explorer Plug-in Hybrid;V6 Hybrid + Electric Motor;457 hp;Hybrid;7;Blue
Ford;Maverick Hybrid;I4 Hybrid;191 hp;Hybrid;5;Silver
Ford;Mustang (2024);V8 Gasoline Engine;450 hp;Petrol;4;Black
Ford;Ranger (2024);I4 Turbo Diesel;210 hp;Diesel;5;Gray
Ford;Escape Plug-in Hybrid (2024);I4 Hybrid;221 hp;Hybrid;5;Silver
Ford;Bronco (2024);V6 EcoBoost;310 hp;Petrol;5;Black
Ford;Explorer (2024);V6 Turbocharged;400 hp;Petrol;7;White
Mitsubishi;Mirage;1.2L MIVEC;78 hp;Petrol;5;Gray
Mitsubishi;Mirage G4;1.2L MIVEC;78 hp;Petrol;5;White
Mitsubishi;Outlander;2.5L 4-Cylinder;181 hp;Petrol;7;Black
Mitsubishi;Outlander PHEV;2.4L Hybrid;248 hp;Hybrid;5;Blue
Mitsubishi;Eclipse Cross;1.5L Turbo;152 hp;Petrol;5;White
Mitsubishi;ASX (Outlander Sport);2.0L MIVEC;148 hp;Petrol;5;White
Mitsubishi;Pajero;3.2L Diesel Turbo;189 hp;Diesel;7;Red
Mitsubishi;Pajero Sport;2.4L Diesel Turbo;181 hp;Diesel;7;Gray
Mitsubishi;Triton (L200);2.4L Diesel Turbo;181 hp;Diesel;5;Beige
Mitsubishi;Lancer Evolution X;2.0L Turbocharged;291 hp;Petrol;5;Gray
Mitsubishi;i-MiEV (Electric);Electric Motor;66 hp;Electric;4;Gray
Mitsubishi;Xpander;1.5L MIVEC;105 hp;Petrol;7;Brown
Mitsubishi;Delica D:5;2.2L Diesel Turbo;145 hp;Diesel;7;Black
Mitsubishi;Colt;1.1L / 1.5L MIVEC;75 - 150 hp;Petrol;5;Silver
Mitsubishi;Grandis;2.4L MIVEC;165 hp;Petrol;7;White
Mitsubishi;Outlander Black Edition;2.5L 4-Cylinder;181 hp;Petrol;7;White
Mitsubishi;Outlander SEL;2.5L 4-Cylinder;181 hp;Petrol;7;Black
Mitsubishi;Outlander SE;2.5L 4-Cylinder;181 hp;Petrol;7;Gray
Mitsubishi;Eclipse Cross Black Edition;1.5L Turbo;152 hp;Petrol;5;White
Mitsubishi;ASX Exceed;2.0L MIVEC;148 hp;Petrol;5;Brown
Mitsubishi;Triton Athlete;2.4L Diesel Turbo;181 hp;Diesel;5;Gray
Mitsubishi;Pajero Final Edition;3.2L Diesel Turbo;189 hp;Diesel;7;Silver
Mitsubishi;L200 Barbarian X;2.4L Diesel Turbo;181 hp;Diesel;5;White
Mitsubishi;Space Star;1.2L MIVEC;78 hp;Petrol;5;Blue
Mitsubishi;Lancer EX;1.6L MIVEC / 2.0L;117 - 148 hp;Petrol;5;Black
Mitsubishi;Montero Sport;2.4L Diesel Turbo;181 hp;Diesel;7;Black
Mitsubishi;Attrage;1.2L MIVEC;78 hp;Petrol;5;White
Mitsubishi;RVR SE;2.0L MIVEC;148 hp;Petrol;5;Blue
Mitsubishi;Delica Van;2.0L Diesel / 2.2L Diesel;145 hp;Diesel;7;Blue
Mitsubishi;Canter (Truck);3.0L Diesel;150 hp;Diesel;2;Black
Mitsubishi;Lancer GLX;1.6L MIVEC;115 hp;Petrol;5;White
Mitsubishi;Pajero GLS;3.2L Diesel Turbo;189 hp;Diesel;7;Silver
Mitsubishi;Xpander Cross;1.5L MIVEC;105 hp;Petrol;7;Black
Mitsubishi;Eclipse Cross PHEV;2.4L PHEV;188 hp;Plug-in Hybrid;5;Red
Mitsubishi;Outlander ES;2.5L 4-Cylinder;181 hp;Petrol;7;Beige
Mitsubishi;Montero GLX;2.4L Diesel Turbo;181 hp;Diesel;7;Blue
Mitsubishi;Triton GLX-R;2.4L Diesel Turbo;181 hp;Diesel;5;Black
Mitsubishi;ASX Dynamic;2.0L MIVEC;148 hp;Petrol;5;White
Mitsubishi;Mirage ES;1.2L MIVEC;78 hp;Petrol;5;Blue
Mitsubishi;Outlander LE;2.5L 4-Cylinder;181 hp;Petrol;7;Blue
Mitsubishi;Fuso Fighter (Truck);7.5L Diesel;240 hp;Diesel;2;Black
Mitsubishi;Fuso Canter Eco Hybrid;3.0L Diesel Hybrid;150 hp;Diesel Hybrid;2;Gray
Mitsubishi;Space Runner;1.8L MIVEC;140 hp;Petrol;5;Silver
Mitsubishi;Toppo BJ;0.7L 3-Cylinder;52 hp;Petrol;4;Blue
Mitsubishi;Chariot;2.0L MIVEC;140 hp;Petrol;7;White
Mitsubishi;Lancer SE Limited;2.0L MIVEC;148 hp;Petrol;5;White
Mitsubishi;Pajero SWB (Short Wheel Base);3.2L Diesel Turbo;189 hp;Diesel;5;Silver
Mitsubishi;Delica Space Gear;2.4L Petrol;145 hp;Petrol;7;Gray
Mitsubishi;i (Kei Car);0.7L 3-Cylinder;64 hp;Petrol;4;Gray
Mitsubishi;Dion;2.0L 4-Cylinder;135 hp;Petrol;7;Black
Mitsubishi;Airtrek;2.4L 4-Cylinder;160 hp;Petrol;5;Gray
Mitsubishi;eK Space;0.7L 3-Cylinder;52 hp;Petrol;4;Red
Mitsubishi;eK X;0.7L 3-Cylinder;64 hp;Petrol;4;White
Mitsubishi;Colt CZC Convertible;1.5L Turbocharged;147 hp;Petrol;4;Gray
Mitsubishi;Galant Fortis;2.0L MIVEC;154 hp;Petrol;5;Black
